product_id,review_content_en_clean,sentiment
B07JW9H4J1,looks durable charging is fine toono complains charging is really fast good product till now satisfied with the quality this is a good product the charging speed is slower than the original iphone cable good quality would recommend had worked well till date and was having no issue cable is also sturdy enough have asked for replacement and company is doing the same,positive
B098NS6PVG,i ordered this cable to connect my phone to android auto of car the cable is really strong and the connection ports are really well made i already has a micro usb cable from ambrane and it s still in good shape i connected my phone to the car using the cable and it got connected well and no issues i also connected it to the charging port and yes it has fast charging support it quality is good at this price and the main thing is that i didn t ever thought that this cable will be so long it s good one and charging power is too good and also supports fast charging with extra length product quality is good bought for my daughter s old phone brand new cable it was not charging i already repacked and requested for replacement i checked again and there was some green colour paste fungus inside the micro usb connector i cleaned with an alcoholic and starts working again checked the ampere of charging speed got around 1400ma 1500ma not bad came with braided 1 pretty impressive for the price can t blame the manufacturer but quality issues by the distributor they might have stored in very humid place,positive
B096MSW6CT,it s a really nice product,neutral
B08HDJ86NZ,good product charges good i bought this cable for rs 339 worthy product for this price i tested it in various charger adapters 33w and 18w it supports fast charging as well i had got this at good price on sale on amazon and product is useful with warranty but for warranty you need to go very far not practical for such a cost and mine micro to type c connector stopped working after few days only i like this product,positive
B08CF3B7N1,bought this instead of original apple does the work for 150rs not as fast as apple charger but its a good option if you want cheap and good product bought it for ipad pro 10 5 and it s working flawlessly build quality is ok its not like i am gonna hang my clothes on it and i want a very strong cable even a braided cable stop working after a year i have used both anker and apple store strong braided cable they all stop working after a year so please don t buy high end cables just for that instead choose a this one and even if it s stops working withing a year you only loose 150rs compares to 2000rs update pin has stopped charging from one side now i have to slip the pin to charge from other side but i will update and let know for how long does it work it s good not sure about durability as the pin area feels a bit fragile does not support apple carplayso was little disappointed about thatother than that cable is made up of very good quality best to buy 100 not fathful writing this review post 10 months and 3 orders of the same product honestly portronics konnect l lightning cable works like magic with the original apple charging brick seeing the price of the cable i initially hesitated buying as it was as low as 99 with the offers and so i wasn t sure if it would work well with my iphone 12 or whether it would impact my iphone s battery health because all the other lightning cable brands were costing over 350 like wayona earlier i was using wayona brand lightning cable with eventually frayed and stopped working charging speed charges my iphone fast enough almost similar compared to the original cable level when used with 12w original apple power adapter quality and durability great quality braided cable and doesn t tangle easily and can withstand day to day usage l shaped pin this is very innovative by portronics and it makes sure the cable doesn t get damaged even if used while charging carplay and data sync works smoothly with carplay and syncs data effortlessly ps i have used this cable only with the original apple charging brick and extremely satisfied with its performance better than i expect the product i like that quality and i plan to buy same type cable come with usb c to lighting cable for emergency purpose that much i love this cable buy for this cable only emergency uses only since good one good product and value for money,positive
B08Y1TFSP6,it s a good product very good item strong and useful usb cablevalue for moneythanks to amazon and producer sturdy but does not support 33w charging,neutral
B08WRWPM22,build quality is good and it is comes with 2 year warranty good product bought it for charging my mobile tab but it doesn t work for lenovo m8 tab guys this cable is is best compare of everyone over heat protection quickly charging but chance to shock circuit good quality,positive
B08DDRGWTJ,worth for money suitable for android auto my purpose served in car got it for rs but packaging is not good feeling like seller gave is used cable good product good product but cost is more i bought this cable at 129 using this cable for android auto in my car perfectly works without any glitch will charge upto 33 watts got it for rs 150 i have 67 watt charger and i want a cable for my car so i went for it i checked the performance with battery charging app the charging speed is exactly half of my 67 watt original cable go for it it provided me turbo charging i recommend for all redmi note 10s mobile phones as it provide turbo charging i am veri happy with this product,positive
B008IFXQFU,i use this to connect an old pc to internet it worked out of the box in both didn t have to do any setup there s an extender cable so you can place this in a comfortable place get the model with antenna because otherwise you ll have range problems if you re not directly in line of sight from your wifi router the wifi dongle is a simple plug play device will start catching available networks right after you plug it into your usb port no additional installations softwares requires signal strength is good just wonder what would be different in other adapters of lesser known brands which are available at a much more competitive pricing hence a star less pros easy to use portable can be connected to mobile hotspot and used in pc budget friendly less installation process no heating issues good coverage best alternative for usb tethering phone s battery may get damaged for long term run with tethering cons internet connection speed varies at times also depends on your modem or cellular connection issues occur while installing via cd which is available along with the product installation driver can be downloaded from tp link site needed to reconnect the adapter every time system is turned on will not work if your software has some issues so encountered any just update your system worked for me support center is worse calls are unattended most of the times or just visit nearby storeconclusion brought this 499 ideal for users who don t need very high speed internet usage a good alternative for usb tethering and are on budge 1080p youtube videos can be easily played with this without any interruptions wifi connectivity is a great good result for me however this is perfect device to connect wifi go for it this wifi adopter is good working pictures attached size design build quality packaging software speed connectivity experience warranty size and design the best part about this is that it is very compact in size and very sober and elegant in design this is a big plus as it is easy plug in and use add to it the good sober design build quality the build quality is undoubtedly superb just no qualms about that it doesnt give off that cheap and flimsy product like feeling it is good sturdy with its build quality packaging this part is also a big plus as the item was well cushioned and packaged with all the necessary items that ensured that no damage could have been caused to the product during transportation this ensures that i as a customer have received something not damaged internally already software this is actually good but not great part with the product the good part is that a cd has been provided with it along with a manual the not great part is that no linux support has been given from version 2 onwards this is bad really speed it easily supports net speeds upto 300 mbps practically speaking i have tested it at my home and it easily supports net speed of over 100 150 mbps without a sigh on testing i found that it did connect to 5ghz network without any issue connectivity please mark its not feet its metres multiply metres x 3 to get the distance in feet it easily connects to my laptop or phone from 7 metres across one room so thats 21 feet i mean even our old bluetooth used to connect to about 15 ft so 20 25 feet is not at all an issue with this this is the big plus i found with the product experience from this point of view so far except the linux non compatibility issue i found no other flaws with this product so overall its a great product warranty its 3 years so i am assured that atleast for 3 years i am tension free and not just 1 year contrary to most electronic items today that only provide 1 year warranty with their items best adapter i have bought ever works nicely seemless connectivity,positive
B082LZGK39,i ordered this cable to connect my phone to android auto of car the cable is really strong and the connection ports are really well made i already has a micro usb cable from ambrane and it s still in good shape i connected my phone to the car using the cable and it got connected well and no issues i also connected it to the charging port and yes it has fast charging support it quality is good at this price and the main thing is that i didn t ever thought that this cable will be so long it s good one and charging power is too good and also supports fast charging with extra length product quality is good bought for my daughter s old phone brand new cable it was not charging i already repacked and requested for replacement i checked again and there was some green colour paste fungus inside the micro usb connector i cleaned with an alcoholic and starts working again checked the ampere of charging speed got around 1400ma 1500ma not bad came with braided 1 pretty impressive for the price can t blame the manufacturer but quality issues by the distributor they might have stored in very humid place,positive
